 program polrad20 version from 10.04.1997

 the file gives born asymmetry, observed asymmetry
 and radiative correstion

 the following switches are active
   polrad strffun integrat polrad_add fits2 exact elect long kin_net 
   targ_c f2nmc_d8 g1asym g2_eq_0 pol_asym 

 leptons are electrons
 target is carbon
 target is longitudinally polarized
 bmom =  10.6
 tmom =   0.0
    pl = 0.00    pn = 0.00   qn = 0.00

 a is in %

      x      w2       q2  a(born)  a(obs)  del(%) 
   0.001     1.2     0.0  -0.000  -0.000   0.000
   0.001     1.3     0.0  -0.000  -0.000   0.000
   0.001     1.5     0.0  -0.000  -0.000   0.000
   0.001     1.7     0.0  -0.000  -0.000   0.000
   0.001     1.9     0.0  -0.000  -0.000   0.000
   0.001     2.1     0.0  -0.000  -0.000   0.000
   0.001     2.3     0.0  -0.000  -0.000   0.000
   0.001     2.5     0.0  -0.000  -0.000   0.000
   0.001     2.7     0.0  -0.000  -0.000   0.000
   0.001     2.9     0.0  -0.000  -0.000   0.000
   0.001     3.4     0.0  -0.000  -0.000   0.000
   0.001     3.9     0.0  -0.000  -0.000   0.000
   0.001     4.4     0.0  -0.000  -0.000   0.000
   0.001     4.9     0.0  -0.000  -0.000   0.000
   0.001     6.8     0.0  -0.000  -0.000   0.000
   0.001     8.8     0.0  -0.000  -0.000   0.000
   0.001    10.8     0.0  -0.000  -0.000   0.000
   0.001    12.8     0.0  -0.000  -0.000   0.000
   0.001    13.8     0.0  -0.000  -0.000   0.000
   0.001    14.8     0.0  -0.000  -0.000   0.000
   0.001    15.8     0.0  -0.000  -0.000   0.000
   0.001    16.8     0.0  -0.000  -0.000   0.000
   0.001    17.3     0.0  -0.000  -0.000   0.000
   0.001    17.8     0.0  -0.000  -0.000   0.000
   0.001    18.3     0.0  -0.000  -0.000   0.000
   0.001    18.8     0.0  -0.000  -0.000   0.000
   0.001    19.0     0.0  -0.000  -0.000   0.000
   0.001    19.2     0.0  -0.000  -0.000   0.000
   0.001    19.4     0.0  -0.000  -0.000   0.000
   0.001    19.6     0.0  -0.000  -0.000   0.000
   0.001    19.8     0.0  -0.000  -0.000   0.000
   0.001    20.0     0.0  -0.000  -0.000   0.000
   0.001    20.2     0.0  -0.000  -0.000   0.000
   0.001    20.4     0.0  -0.000  -0.000   0.000
   0.001    20.6     0.0  -0.000  -0.000   0.000
   0.010     1.2     0.0  -0.000  -0.000   0.000
   0.010     1.3     0.0  -0.000  -0.000   0.000
